subject,date,eid,ROI
ZFM-05235,2023-06-27,770c1a1f-3b7b-43e1-934e-102a3b22faf9,Region3G
ZFM-05236,2023-06-21,8bfac9d7-fbfe-4175-b5df-58ff91b5acdd,Region4G
ZFM-05248,2023-03-17,a7366bb4-8e5d-44fc-97f8-af129659b9c6,Region3G
ZFM-03061,2021-09-23,d61e88c8-3197-4164-9797-59fc1440602a,Region4G
ZFM-06171,2023-10-24,e898dfa4-f21d-42d6-81d4-9bf4f3e577bf,Region3G
ZFM-06275,2023-08-15,e5559ea6-fef3-4e68-8b01-545e960b3f59,Region4G
ZFM-03065,2021-09-28,be987d37-5cd8-4e4f-8dc2-d8a452e84abb,Region1G
ZFM-03062,2021-09-21,c4fddc77-29f7-4884-a2db-b71baca7f6be,Region4G
ZFM-05235,2023-03-22,30d401e0-96f5-44c7-9cce-cf2de823cf78,Region4G
ZFM-06272,2024-01-24,69fe2bf9-e52b-4b5e-8a6d-3c3f95d25d0a,Region3G
ZFM-03065,2021-08-27,fe2a712b-014b-47e7-b2ac-f85d0571cf44,Region1G
ZFM-03065,2021-09-21,c3d7c3bb-31be-47b3-a5e2-ad8d1f0e8c99,Region1G
ZFM-06275,2024-01-17,eb104880-b863-4452-8c1f-44fa372fbe62,Region3G
ZFM-03061,2021-10-08,4e622a26-418d-4384-b354-64d453959365,Region4G
ZFM-03061,2021-10-07,9a66082a-44d6-4bba-b747-c3151cdabcd3,Region4G
ZFM-04022,2022-12-30,a1ccc8ed-9829-4af8-91fd-cc1c83b74b98,Region4G
ZFM-03062,2021-09-02,a4d68a06-ffc3-43f3-ae1d-f4d05124ed22,Region4G
ZFM-05245,2023-03-16,5743661d-a36d-4c4f-a2ef-51fbeee79b7c,Region4G
ZFM-03447,2022-01-04,1188cf92-e377-414b-a261-722f407e5c0d,Region1G
ZFM-04392,2022-06-30,0d47bd57-d11a-4471-bb89-b5eb3a2e2bec,Region5G
ZFM-04022,2022-04-05,6d9cbaba-9579-4eda-8ca0-0af6b3b3b206,Region6G
ZFM-05235,2023-07-06,5fb4cceb-744f-4505-8892-054ae3581c55,Region4G
ZFM-04533,2022-06-21,6bec1529-d0d8-4510-982a-ba971d52b52e,Region6G
ZFM-03448,2022-07-19,fc9d1f13-6138-4ffa-97cf-5dcddc4274f7,Region6G
